X,Y,Name,Long_name
2589116.21093916,1220851.17015334,206,rural reference
2587318.10545237,1221262.51008333,228,Südstrasse
2588246.30546011,1221489.56008199,217,Geyisreid
2586841.31089471,1221544.27017185,205,Ile de la Suze
2586725.30544576,1221757.26008724,221,Champagne-Piano
2586523.80544287,1222173.31008976,227,Altersheim-redenweg
2584839.50652196,1219376.51209687,216,Nidau-mittestrasse
2585629.30380887,1219701.80705616,211,Mühlefeld
2585758.30489964,1219066.65906917,226,Port Thielle
2585986.20708087,1218786.66309739,213,Port NBK
2586192.80543981,1222205.11009077,235,Altersheim-Reid
2587851.8054523,1223128.01009083,225,Swisstennis
2598212.21107792,1225339.17014795,207,Swiss Meteo Reference
2588914.00491459,1223573.88408117,237,Rolex
2587030.50544646,1222540.76009019,236,Taubenloch
2587298.75490466,1222251.3840793,224,Bözingen
2588901.70491557,1223116.25907924,234,Bözingenfeld
2586244.5087159,1219444.71612385,223,Altersheim-erlacher
2586920.19108163,1219731.23086503,240,Längholz-replacement
2586918.50109055,1219738.00201541,214,Längholz
2586623.50163489,1219907.00302359,208,Möösli
2585787.80489602,1220719.45907625,220,Altersheim-Neumarkt
2585424.00489271,1220879.50907778,219,New City
2585060.75434641,1220902.38306997,238,Museum
2586114.41959549,1221490.07372696,232,Champagne-Blumen
2585360.40543482,1221244.56008834,215,Old City
2585256.50543244,1221802.96009127,222,Spital
2585946.81088076,1221134.77017259,204,Stadtpark
2583485.01084233,1219996.27017444,230,Vingelz
2585014.11086987,1219998.17016653,201,Robert-Walser-Platz
2585629.80489579,1220272.85907468,233,Madretsch-Zukunft
2585169.01087119,1220281.52016844,218,Bahnhof
2584213.40868293,1220342.51613918,212,Seepark
2585597.90543899,1220459.86008397,210,Congresshaus
2586127.00435491,1220505.75806624,209,Madrestch-Piano
2584827.50162955,1220544.0030259,229,Viaductstrasse
2585459.51087453,1220646.07017044,203,Zentralplatz
2584343.00380114,1219491.20705779,231,Nidau-Lac
2584367.50054306,1219403.5010082,239,Nidau-wald
2584647.01086331,1219988.27016833,202,Hafen
